"idPopulations0","PMID","pNam","popSize","popCountry","popMainChar","pSecChar","inclCrit","ageUni","ageMean","ageSD","ageLow","ageUp","femaleFreq","ageClass","sexClass","popDisease","popComorbidity","fromCode","projectName","uploadDate"
,"36054656",,,"",,"",,,,,,,,,,"no ICD history",,1,"projTutoParkinson","2023-12-28"
,"36051303",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36043138",,,"japan",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36031896",,,"",,"dementia, insulin resistance",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"36002891",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35988591",,"52848","",,"dementia, ",,,,,,,,,,"fall",,1,"projTutoParkinson","2023-12-28"
,"35987038",,,"mali",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35949423",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35936769",,,"mali",,"cognitive impairment, dementia, depression",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35923614",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35923551",,,"",,"dementia, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35914620",,"34","",,"liver disease, type 2 diabetes",,,,,,,,,,"nonalcoholic fatty liver disease",,1,"projTutoParkinson","2023-12-28"
,"35908534",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35895157",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35887259",,,"russia",,"alzheimer's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35875798",,,"",,"alzheimer's disease, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35871327",,,"",,"cognitive impairment, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35871110",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35858317",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35849335",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35835768",,"47","",,"",,,,,,,,,,"Parkinson's disease",,1,"projTutoParkinson","2023-12-28"
,"35822939",,,"",,"alzheimer's disease, dementia, genes",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35821514",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35809348",,,"",,"cognitive impairment, dementia, stroke",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35794041",,,"",,"cognitive impairment, type 2 diabetes, diabetes",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35786222",,,"",,"dementia, epilepsy",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35780693",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35767550",,,"japan",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35764028",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35740400",,,"spain, france",,"cognitive impairment, genes, disability, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35737532",,,"",,"parkinson's disease, depression, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35731334",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35728329",,,"",,"dementia, stroke",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35694922",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35694921",,,"colombia",,"alzheimer's disease, cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35688899",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35636011",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35610965",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35592778",,,"japan",,"cognitive impairment, diabetes, dementia, obesity, obesity, obesity",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35586537",,,"israel",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35562955",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35545633",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35511193",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35488797",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35446723",,"9504","",,"cognitive impairment, dementia",,,,,,,,,,"dementia",,1,"projTutoParkinson","2023-12-28"
,"35384057",,,"",,"diabetes, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35365783",,,"",,"",,,,,,,,,,"hypertension",,1,"projTutoParkinson","2023-12-28"
,"35365675",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35347453",,,"italy",,"alzheimer's disease, amyloidosis, dementia, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35342141",,,"",,"parkinson's disease, superficial siderosis",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35339996",,,"norway",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35333903",,"122","japan",,"disability, chronic kidney disease, cardiovascular disease, dementia",,,,,,,,,,"chronic kidney disease",,1,"projTutoParkinson","2023-12-28"
,"35315333",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35309894",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35299943",,,"",,"cognitive impairment, dementia, disability",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35290430",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35217383",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35206323",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35180133",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35180121",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35173266",,,"",,"alzheimer's disease, genes",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35168368",,"7283","",,"",,,,,,,,,,"hypertension",,1,"projTutoParkinson","2023-12-28"
,"35152487",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35146484",,,"mali",,"alzheimer's disease, genes",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35135868",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35112521",,,"turkey",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35104008",,"961","france",,"",,,,,,,,,,"mortality, institutionalization, dementia",,1,"projTutoParkinson","2023-12-28"
,"35088840",,,"spanish, german",,"dementia, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35087394",,,"south korea",,"depression, cognitive impairment",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35079903",,,"",,"parkinson's disease, genes",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35048808",,,"",,"cognitive impairment, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35044500",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"35023132",,,"",,"alzheimer's disease, dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"34986891",,,"",,"alzheimer's disease, dementia",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"34985504",,,"united states",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"34971120",,,"",,"dementia, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"34958035",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"34922823",,,"",,"parkinson's disease, depression",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"34897101",,"12642","",,"parkinson's disease, ",,,,,,,,,,"age, sex, smoking",,1,"projTutoParkinson","2023-12-28"
,"34896817",,"30239","",,"ischemic stroke, heart failure, dementia, stroke, stroke, stroke, stroke, stroke, stroke",,,,,,,,,,"Ischemic Stroke",,1,"projTutoParkinson","2023-12-28"
,"34895381",,,"",,"parkinson's disease, depression, cognitive impairment, psychosis",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"34884544",,,"",,"parkinson's disease, ",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
,"34825310",,,"",,"",,,,,,,,,,,,1,"projTutoParkinson","2023-12-28"
